Date,Category,Polarity,Sentiment
28 Nov,politics,0.0,Neutral
28 Nov,business,-0.4404,Negative
28 Nov,entertainment,-0.8442,Negative
28 Nov,business,0.8553,Positive
28 Nov,entertainment,0.5994,Positive
28 Nov,business,0.25,Positive
28 Nov,sport,0.25,Positive
28 Nov,sport,0.2023,Positive
28 Nov,politics,-0.0956,Negative
28 Nov,politics,0.0,Neutral
28 Nov,politics,0.1032,Positive
28 Nov,politics,0.6486,Positive
28 Nov,sport,-0.0387,Negative
28 Nov,tech,-0.8225,Negative
28 Nov,politics,-0.5904,Negative
28 Nov,business,-0.8957,Negative
28 Nov,politics,0.4215,Positive
28 Nov,entertainment,-0.4939,Negative
28 Nov,sport,0.926,Positive
28 Nov,sport,0.743,Positive
28 Nov,politics,0.6249,Positive
28 Nov,business,0.0,Neutral
28 Nov,sport,0.8724,Positive
28 Nov,business,-0.5267,Negative
28 Nov,politics,0.6705,Positive
